uid	ec	organism	organism_id
P63001	3.6.5.2	Mus musculus (Mouse)	10090
Q62120	2.7.10.2	Mus musculus (Mouse)	10090
Q9WVS6	2.3.2.31	Mus musculus (Mouse)	10090
Q8WV44	2.3.2.27	Homo sapiens (Human)	9606
B2RWS6	2.3.1.48	Mus musculus (Mouse)	10090
Q08426	4.2.1.17	Homo sapiens (Human)	9606
P63085	2.7.11.24	Mus musculus (Mouse)	10090
P42346	2.7.11.1	Rattus norvegicus (Rat)	10116
Q14790	3.4.22.61	Homo sapiens (Human)	9606
Q8R418	3.1.26.3	Mus musculus (Mouse)	10090
Q05769	1.14.99.1	Mus musculus (Mouse)	10090
P05532	2.7.10.1	Mus musculus (Mouse)	10090
Q9UHD2	2.7.11.1	Homo sapiens (Human)	9606
P22607	2.7.10.1	Homo sapiens (Human)	9606
P27361	2.7.11.24	Homo sapiens (Human)	9606
O60603	3.2.2.6	Homo sapiens (Human)	9606
P37173	2.7.11.30	Homo sapiens (Human)	9606
P35520	4.2.1.22	Homo sapiens (Human)	9606
P35557	2.7.1.1	Homo sapiens (Human)	9606
P40146	4.6.1.1	Rattus norvegicus (Rat)	10116
P39940	2.3.2.26	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P04412	2.7.10.1	Drosophila melanogaster (Fruit fly)	7227
Q9UBN7	3.5.1.98	Homo sapiens (Human)	9606
P08709	3.4.21.21	Homo sapiens (Human)	9606
P05622	2.7.10.1	Mus musculus (Mouse)	10090
O60313	3.6.5.5	Homo sapiens (Human)	9606
P54132	3.6.4.12	Homo sapiens (Human)	9606
Q15303	2.7.10.1	Homo sapiens (Human)	9606
P20618	3.4.25.1	Homo sapiens (Human)	9606
Q13064	2.3.2.27	Homo sapiens (Human)	9606
P15056	2.7.11.1	Homo sapiens (Human)	9606
O75604	3.4.19.12	Homo sapiens (Human)	9606
Q13464	2.7.11.1	Homo sapiens (Human)	9606
P06858	3.1.1.34	Homo sapiens (Human)	9606
P39688	2.7.10.2	Mus musculus (Mouse)	10090
P35354	1.14.99.1	Homo sapiens (Human)	9606
P21675	2.3.1.48	Homo sapiens (Human)	9606
Q9GZR5	2.3.1.199	Homo sapiens (Human)	9606
P16092	2.7.10.1	Mus musculus (Mouse)	10090
Q9UKV8	3.1.26.n2	Homo sapiens (Human)	9606
P63086	2.7.11.24	Rattus norvegicus (Rat)	10116
O95786	3.6.4.13	Homo sapiens (Human)	9606
P17405	3.1.4.12	Homo sapiens (Human)	9606
P09208	2.7.10.1	Drosophila melanogaster (Fruit fly)	7227
P54763	2.7.10.1	Mus musculus (Mouse)	10090
Q9BYW2	2.1.1.359	Homo sapiens (Human)	9606
P78527	2.7.11.1	Homo sapiens (Human)	9606
Q8TED1	1.11.1.9	Homo sapiens (Human)	9606
P17612	2.7.11.11	Homo sapiens (Human)	9606
P10809	5.6.1.7	Homo sapiens (Human)	9606
Q8VDQ8	2.3.1.286	Mus musculus (Mouse)	10090
Q9UNQ0	7.6.2.2	Homo sapiens (Human)	9606
Q01279	2.7.10.1	Mus musculus (Mouse)	10090
P35918	2.7.10.1	Mus musculus (Mouse)	10090
P47811	2.7.11.24	Mus musculus (Mouse)	10090
P06239	2.7.10.2	Homo sapiens (Human)	9606
P35355	1.14.99.1	Rattus norvegicus (Rat)	10116
P15127	2.7.10.1	Rattus norvegicus (Rat)	10116
O14672	3.4.24.81	Homo sapiens (Human)	9606
P06493	2.7.11.22	Homo sapiens (Human)	9606
Q03114	2.7.11.1	Rattus norvegicus (Rat)	10116
P08246	3.4.21.37	Homo sapiens (Human)	9606
P08617	3.6.1.15	Human hepatitis A virus genotype IB (isolate HM175) (HHAV) (Human hepatitis A virus (isolate Human/Australia/HM175/1976))	12098
P08069	2.7.10.1	Homo sapiens (Human)	9606
P17763	3.4.21.91	Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)	11059
P50570	3.6.5.5	Homo sapiens (Human)	9606
P62136	3.1.3.16	Homo sapiens (Human)	9606
Q63604	2.7.10.1	Rattus norvegicus (Rat)	10116
Q8N884	2.7.7.86	Homo sapiens (Human)	9606
Q16678	1.14.14.1	Homo sapiens (Human)	9606
O14965	2.7.11.1	Homo sapiens (Human)	9606
P15289	3.1.6.8	Homo sapiens (Human)	9606
Q13153	2.7.11.1	Homo sapiens (Human)	9606
P21439	7.6.2.1	Homo sapiens (Human)	9606
Q64729	2.7.11.30	Mus musculus (Mouse)	10090
P48025	2.7.10.2	Mus musculus (Mouse)	10090
P34152	2.7.10.2	Mus musculus (Mouse)	10090
Q9UNE7	2.3.2.27	Homo sapiens (Human)	9606
P22413	3.1.4.1	Homo sapiens (Human)	9606
P08575	3.1.3.48	Homo sapiens (Human)	9606
Q15910	2.1.1.356	Homo sapiens (Human)	9606
Q02750	2.7.12.2	Homo sapiens (Human)	9606
Q05655	2.7.11.13	Homo sapiens (Human)	9606
P20807	3.4.22.54	Homo sapiens (Human)	9606
Q804S5	2.3.2.27	Danio rerio (Zebrafish) (Brachydanio rerio)	7955
O14920	2.7.11.10	Homo sapiens (Human)	9606
Q62689	2.7.10.2	Rattus norvegicus (Rat)	10116
Q04656	7.2.2.8	Homo sapiens (Human)	9606
Q08209	3.1.3.16	Homo sapiens (Human)	9606
Q9BYF1	3.4.17.23	Homo sapiens (Human)	9606
P36895	2.7.11.30	Mus musculus (Mouse)	10090
P15209	2.7.10.1	Mus musculus (Mouse)	10090
O15294	2.4.1.255	Homo sapiens (Human)	9606
Q9QUN7	3.2.2.6	Mus musculus (Mouse)	10090
P78317	2.3.2.27	Homo sapiens (Human)	9606
P42336	2.7.1.153	Homo sapiens (Human)	9606
P11413	1.1.1.49	Homo sapiens (Human)	9606
P11021	3.6.4.10	Homo sapiens (Human)	9606
Q9QVP9	2.7.10.2	Mus musculus (Mouse)	10090
Q62600	1.14.13.39	Rattus norvegicus (Rat)	10116
Q13131	2.7.11.1	Homo sapiens (Human)	9606
Q00535	2.7.11.1	Homo sapiens (Human)	9606
Q86UW9	2.3.2.27	Homo sapiens (Human)	9606
P25788	3.4.25.1	Homo sapiens (Human)	9606
P22033	5.4.99.2	Homo sapiens (Human)	9606
Q62312	2.7.11.30	Mus musculus (Mouse)	10090
P18074	3.6.4.12	Homo sapiens (Human)	9606
Q9QUI0	3.6.5.2	Mus musculus (Mouse)	10090
Q9NSU2	3.1.11.2	Homo sapiens (Human)	9606
P56817	3.4.23.46	Homo sapiens (Human)	9606
P04798	1.14.14.1	Homo sapiens (Human)	9606
Q01986	2.7.12.2	Rattus norvegicus (Rat)	10116
P00185	1.14.14.1	Rattus norvegicus (Rat)	10116
P07333	2.7.10.1	Homo sapiens (Human)	9606
P06802	3.1.4.1	Mus musculus (Mouse)	10090
P06800	3.1.3.48	Mus musculus (Mouse)	10090
P34059	3.1.6.4	Homo sapiens (Human)	9606
P17948	2.7.10.1	Homo sapiens (Human)	9606
Q13043	2.7.11.1	Homo sapiens (Human)	9606
P00966	6.3.4.5	Homo sapiens (Human)	9606
Q13873	2.7.11.30	Homo sapiens (Human)	9606
P24941	2.7.11.22	Homo sapiens (Human)	9606
Q9H2U1	3.6.4.12	Homo sapiens (Human)	9606
Q9UQM7	2.7.11.17	Homo sapiens (Human)	9606
P39052	3.6.5.5	Rattus norvegicus (Rat)	10116
P68400	2.7.11.1	Homo sapiens (Human)	9606
P16278	3.2.1.23	Homo sapiens (Human)	9606
P21860	2.7.10.1	Homo sapiens (Human)	9606
P43405	2.7.10.2	Homo sapiens (Human)	9606
Q13490	2.3.2.27	Homo sapiens (Human)	9606
P35916	2.7.10.1	Homo sapiens (Human)	9606
O22476	2.7.10.1	Arabidopsis thaliana (Mouse-ear cress)	3702
P22681	2.3.2.27	Homo sapiens (Human)	9606
P07101	1.14.16.2	Homo sapiens (Human)	9606
Q61851	2.7.10.1	Mus musculus (Mouse)	10090
P22304	3.1.6.13	Homo sapiens (Human)	9606
Q9UPY3	3.1.26.3	Homo sapiens (Human)	9606
P50750	2.7.11.22	Homo sapiens (Human)	9606
P18031	3.1.3.48	Homo sapiens (Human)	9606
P09958	3.4.21.75	Homo sapiens (Human)	9606
P00734	3.4.21.5	Homo sapiens (Human)	9606
Q15139	2.7.11.13	Homo sapiens (Human)	9606
O35346	2.7.10.2	Rattus norvegicus (Rat)	10116
O15111	2.7.11.10	Homo sapiens (Human)	9606
P19525	2.7.11.1	Homo sapiens (Human)	9606
Q63844	2.7.11.24	Mus musculus (Mouse)	10090
O43353	2.7.11.1	Homo sapiens (Human)	9606
P09217	2.7.11.13	Rattus norvegicus (Rat)	10116
Q9Y223	3.2.1.183	Homo sapiens (Human)	9606
P04070	3.4.21.69	Homo sapiens (Human)	9606
P16615	7.2.2.10	Homo sapiens (Human)	9606
Q13510	3.5.1.23	Homo sapiens (Human)	9606
Q94F62	2.7.10.1	Arabidopsis thaliana (Mouse-ear cress)	3702
P20444	2.7.11.13	Mus musculus (Mouse)	10090
Q13263	2.3.2.27	Homo sapiens (Human)	9606
P07902	2.7.7.12	Homo sapiens (Human)	9606
O76064	2.3.2.27	Homo sapiens (Human)	9606
P35739	2.7.10.1	Rattus norvegicus (Rat)	10116
Q4JIM5	2.7.10.2	Mus musculus (Mouse)	10090
P00492	2.4.2.8	Homo sapiens (Human)	9606
P78536	3.4.24.86	Homo sapiens (Human)	9606
P61589	3.6.5.2	Rattus norvegicus (Rat)	10116
Q60855	2.7.11.1	Mus musculus (Mouse)	10090
P26196	3.6.4.13	Homo sapiens (Human)	9606
Q9NYA1	2.7.1.91	Homo sapiens (Human)	9606
P00813	3.5.4.4	Homo sapiens (Human)	9606
P29474	1.14.13.39	Homo sapiens (Human)	9606
P98170	2.3.2.27	Homo sapiens (Human)	9606
P46100	3.6.4.12	Homo sapiens (Human)	9606
P00747	3.4.21.7	Homo sapiens (Human)	9606
Q08499	3.1.4.53	Homo sapiens (Human)	9606
P29317	2.7.10.1	Homo sapiens (Human)	9606
P14679	1.14.18.1	Homo sapiens (Human)	9606
P35465	2.7.11.1	Rattus norvegicus (Rat)	10116
Q96GD4	2.7.11.1	Homo sapiens (Human)	9606
P05177	1.14.14.1	Homo sapiens (Human)	9606
P70288	3.5.1.98	Mus musculus (Mouse)	10090
Q64430	7.2.2.8	Mus musculus (Mouse)	10090
O76083	3.1.4.35	Homo sapiens (Human)	9606
Q13496	3.1.3.95	Homo sapiens (Human)	9606
Q8N661	3.3.2.2	Homo sapiens (Human)	9606
P60766	3.6.5.2	Mus musculus (Mouse)	10090
Q9Z0J4	1.14.13.39	Mus musculus (Mouse)	10090
O75460	2.7.11.1	Homo sapiens (Human)	9606
O75716	2.7.11.1	Homo sapiens (Human)	9606
Q01968	3.1.3.36	Homo sapiens (Human)	9606
O75116	2.7.11.1	Homo sapiens (Human)	9606
Q13177	2.7.11.1	Homo sapiens (Human)	9606
O43463	2.1.1.355	Homo sapiens (Human)	9606
P05186	3.1.3.1	Homo sapiens (Human)	9606
Q93009	3.4.19.12	Homo sapiens (Human)	9606
P34913	3.3.2.10	Homo sapiens (Human)	9606
Q9NQC7	3.4.19.12	Homo sapiens (Human)	9606
Q13554	2.7.11.17	Homo sapiens (Human)	9606
P05132	2.7.11.11	Mus musculus (Mouse)	10090
P46934	2.3.2.26	Homo sapiens (Human)	9606
Q07014	2.7.10.2	Rattus norvegicus (Rat)	10116
O15530	2.7.11.1	Homo sapiens (Human)	9606
O09106	3.5.1.98	Mus musculus (Mouse)	10090
Q13049	2.3.2.27	Homo sapiens (Human)	9606
Q63HR2	3.1.3.48	Homo sapiens (Human)	9606
P06935	3.4.21.91	West Nile virus (WNV)	11082
P45984	2.7.11.24	Homo sapiens (Human)	9606
P21549	2.6.1.51	Homo sapiens (Human)	9606
Q9Z2B5	2.7.11.1	Mus musculus (Mouse)	10090
P03305	3.4.22.46	Foot-and-mouth disease virus (isolate Bovine/Germany/O1Kaufbeuren/1966 serotype O) (FMDV)	73482
P14925	1.14.17.3	Rattus norvegicus (Rat)	10116
Q9Y2R2	3.1.3.48	Homo sapiens (Human)	9606
P21964	2.1.1.6	Homo sapiens (Human)	9606
P31751	2.7.11.1	Homo sapiens (Human)	9606
Q9Q6P4	3.4.21.91	West Nile virus (strain NY-99) (WNV) (West Nile virus (strain NY-1999))	1968826
P19174	3.1.4.11	Homo sapiens (Human)	9606
P09601	1.14.14.18	Homo sapiens (Human)	9606
P47712	3.1.1.4	Homo sapiens (Human)	9606
Q15788	2.3.1.48	Homo sapiens (Human)	9606
Q03137	2.7.10.1	Mus musculus (Mouse)	10090
P00480	2.1.3.3	Homo sapiens (Human)	9606
P21708	2.7.11.24	Rattus norvegicus (Rat)	10116
P05696	2.7.11.13	Rattus norvegicus (Rat)	10116
P09211	2.5.1.18	Homo sapiens (Human)	9606
O43318	2.7.11.25	Homo sapiens (Human)	9606
P45481	2.3.1.48	Mus musculus (Mouse)	10090
Q6RUV5	3.6.5.2	Rattus norvegicus (Rat)	10116
Q80W54	3.4.24.84	Mus musculus (Mouse)	10090
P49185	2.7.11.24	Rattus norvegicus (Rat)	10116
P80204	2.7.11.30	Rattus norvegicus (Rat)	10116
P29350	3.1.3.48	Homo sapiens (Human)	9606
Q61188	2.1.1.356	Mus musculus (Mouse)	10090
P31938	2.7.12.2	Mus musculus (Mouse)	10090
P22735	2.3.2.13	Homo sapiens (Human)	9606
P04177	1.14.16.2	Rattus norvegicus (Rat)	10116
P43403	2.7.10.2	Homo sapiens (Human)	9606
P51617	2.7.11.1	Homo sapiens (Human)	9606
Q13557	2.7.11.17	Homo sapiens (Human)	9606
P17844	3.6.4.13	Homo sapiens (Human)	9606
P56558	2.4.1.255	Rattus norvegicus (Rat)	10116
Q9BT40	3.1.3.56	Homo sapiens (Human)	9606
P67999	2.7.11.1	Rattus norvegicus (Rat)	10116
P07947	2.7.10.2	Homo sapiens (Human)	9606
P25694	3.6.4.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
P38919	3.6.4.13	Homo sapiens (Human)	9606
O14744	2.1.1.320	Homo sapiens (Human)	9606
P35235	3.1.3.48	Mus musculus (Mouse)	10090
P51955	2.7.11.1	Homo sapiens (Human)	9606
P47897	6.1.1.18	Homo sapiens (Human)	9606
O08785	2.3.1.48	Mus musculus (Mouse)	10090
Q6N021	1.14.11.n2	Homo sapiens (Human)	9606
O14757	2.7.11.1	Homo sapiens (Human)	9606
Q99683	2.7.11.25	Homo sapiens (Human)	9606
Q5EG47	2.7.11.1	Mus musculus (Mouse)	10090
P36873	3.1.3.16	Homo sapiens (Human)	9606
Q9UN37	3.6.4.6	Homo sapiens (Human)	9606
P30613	2.7.1.40	Homo sapiens (Human)	9606
P23634	7.2.2.10	Homo sapiens (Human)	9606
Q16513	2.7.11.13	Homo sapiens (Human)	9606
P26618	2.7.10.1	Mus musculus (Mouse)	10090
Q76LX8	3.4.24.87	Homo sapiens (Human)	9606
Q62388	2.7.11.1	Mus musculus (Mouse)	10090
Q9Z2V5	3.5.1.98	Mus musculus (Mouse)	10090
P23804	2.3.2.27	Mus musculus (Mouse)	10090
P26358	2.1.1.37	Homo sapiens (Human)	9606
P09581	2.7.10.1	Mus musculus (Mouse)	10090
P14735	3.4.24.56	Homo sapiens (Human)	9606
Q9JJY3	3.1.4.12	Mus musculus (Mouse)	10090
P70196	2.3.2.27	Mus musculus (Mouse)	10090
P67775	3.1.3.16	Homo sapiens (Human)	9606
P97523	2.7.10.1	Rattus norvegicus (Rat)	10116
Q99873	2.1.1.319	Homo sapiens (Human)	9606
P15336	2.3.1.48	Homo sapiens (Human)	9606
Q92830	2.3.1.48	Homo sapiens (Human)	9606
P30793	3.5.4.16	Homo sapiens (Human)	9606
Q12884	3.4.21.26	Homo sapiens (Human)	9606
P15208	2.7.10.1	Mus musculus (Mouse)	10090
Q03145	2.7.10.1	Mus musculus (Mouse)	10090
P55265	3.5.4.37	Homo sapiens (Human)	9606
P14335	3.4.21.91	Kunjin virus (strain MRM61C)	11078
P0C6U8	3.4.19.12	Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus)	694009
Q9R1E6	3.1.4.39	Mus musculus (Mouse)	10090
P40793	3.6.5.2	Drosophila melanogaster (Fruit fly)	7227
P09917	1.13.11.34	Homo sapiens (Human)	9606
P08473	3.4.24.11	Homo sapiens (Human)	9606
P15442	2.7.11.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
O35303	3.6.5.5	Rattus norvegicus (Rat)	10116
Q05513	2.7.11.13	Homo sapiens (Human)	9606
P36639	3.6.1.55	Homo sapiens (Human)	9606
P45983	2.7.11.24	Homo sapiens (Human)	9606
Q9WTK7	2.7.11.1	Mus musculus (Mouse)	10090
P08228	1.15.1.1	Mus musculus (Mouse)	10090
P16056	2.7.10.1	Mus musculus (Mouse)	10090
P14618	2.7.1.40	Homo sapiens (Human)	9606
P00387	1.6.2.2	Homo sapiens (Human)	9606
P14780	3.4.24.35	Homo sapiens (Human)	9606
P00546	2.7.11.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292
Q9BZL6	2.7.11.13	Homo sapiens (Human)	9606
Q91Y86	2.7.11.24	Mus musculus (Mouse)	10090
Q92831	2.3.1.48	Homo sapiens (Human)	9606
O14773	3.4.14.9	Homo sapiens (Human)	9606
P11712	1.14.14.1	Homo sapiens (Human)	9606
P09215	2.7.11.13	Rattus norvegicus (Rat)	10116
Q96T88	2.3.2.27	Homo sapiens (Human)	9606
P54645	2.7.11.1	Rattus norvegicus (Rat)	10116
Q62844	2.7.10.2	Rattus norvegicus (Rat)	10116
P41743	2.7.11.13	Homo sapiens (Human)	9606
Q07912	2.7.10.2	Homo sapiens (Human)	9606
P42573	3.4.22.60	Caenorhabditis elegans	6239
Q60751	2.7.10.1	Mus musculus (Mouse)	10090
P36894	2.7.11.30	Homo sapiens (Human)	9606
P15121	1.1.1.300	Homo sapiens (Human)	9606
Q01974	2.7.10.1	Homo sapiens (Human)	9606
Q08345	2.7.10.1	Homo sapiens (Human)	9606
P29990	3.4.21.91	Dengue virus type 2 (strain Thailand/16681/1984) (DENV-2)	31634
P58004	1.11.1.15	Homo sapiens (Human)	9606
P07237	5.3.4.1	Homo sapiens (Human)	9606
Q4VGL6	2.3.2.27	Mus musculus (Mouse)	10090
P27619	3.6.5.5	Drosophila melanogaster (Fruit fly)	7227
P04406	1.2.1.12	Homo sapiens (Human)	9606
Q8I0P1	5.6.1.1	Drosophila melanogaster (Fruit fly)	7227
Q92769	3.5.1.98	Homo sapiens (Human)	9606
P36888	2.7.10.1	Homo sapiens (Human)	9606
O08775	2.7.10.1	Rattus norvegicus (Rat)	10116
Q8WUI4	3.5.1.98	Homo sapiens (Human)	9606
P18431	2.7.11.1	Drosophila melanogaster (Fruit fly)	7227
P70336	2.7.11.1	Mus musculus (Mouse)	10090
P27487	3.4.14.5	Homo sapiens (Human)	9606
Q9Y251	3.2.1.166	Homo sapiens (Human)	9606
P70705	7.2.2.8	Rattus norvegicus (Rat)	10116
Q05086	2.3.2.26	Homo sapiens (Human)	9606
P11103	2.4.2.30	Mus musculus (Mouse)	10090
P54098	2.7.7.7	Homo sapiens (Human)	9606
P24928	2.7.7.6	Homo sapiens (Human)	9606
Q04589	2.7.10.1	Rattus norvegicus (Rat)	10116
P03958	3.5.4.4	Mus musculus (Mouse)	10090
P51648	1.2.1.3	Homo sapiens (Human)	9606
O70405	2.7.11.1	Mus musculus (Mouse)	10090
P51687	1.8.3.1	Homo sapiens (Human)	9606
P11388	5.6.2.2	Homo sapiens (Human)	9606
P09671	1.15.1.1	Mus musculus (Mouse)	10090
Q00534	2.7.11.22	Homo sapiens (Human)	9606
Q15746	2.7.11.18	Homo sapiens (Human)	9606
P22309	2.4.1.17	Homo sapiens (Human)	9606
P41227	2.3.1.255	Homo sapiens (Human)	9606
P00918	4.2.1.1	Homo sapiens (Human)	9606
P53355	2.7.11.1	Homo sapiens (Human)	9606
Q9QZR5	2.7.11.1	Mus musculus (Mouse)	10090
P50281	3.4.24.80	Homo sapiens (Human)	9606
O43464	3.4.21.108	Homo sapiens (Human)	9606
P62877	2.3.2.27	Homo sapiens (Human)	9606
Q00403	2.3.1.48	Homo sapiens (Human)	9606
P70451	2.7.10.2	Mus musculus (Mouse)	10090
P16054	2.7.11.13	Mus musculus (Mouse)	10090
Q16620	2.7.10.1	Homo sapiens (Human)	9606
P63328	3.1.3.16	Mus musculus (Mouse)	10090
P14174	5.3.2.1	Homo sapiens (Human)	9606
P33527	7.6.2.2	Homo sapiens (Human)	9606
Q9UM73	2.7.10.1	Homo sapiens (Human)	9606
Q6SZW1	3.2.2.6	Homo sapiens (Human)	9606
Q13882	2.7.10.2	Homo sapiens (Human)	9606
O95271	2.4.2.30	Homo sapiens (Human)	9606
P19447	3.6.4.12	Homo sapiens (Human)	9606
